香江华廷	14068	普通住宅	0.85元/平方米·月	380000m²	2400户	2010年	总数：700个 	1.7	35%(一般)	常州市康桥房地产开发有限公司（中房股份）	人杰物业	
中意宝第	14033	普通住宅	1元/平方米·月	264127m²	1955户	2013年	总数：1243个	2.8	40%(高)	常州中亿房地产开发有限公司	江苏高正	
万泽国际	10318	普通住宅	1元/平方米·月	73044m²	514户	2011年	地上90个;地下288个	3.8	35%(一般)	常州万泽置地房产开发有限公司	万泽物业	
弘建一品	13333	普通住宅	1.38元/平方米·月	200000m²	1197户	2012年	地上96个;地下862个	2	60%(高)	常州弘建太湖置业有限公司	上海浦江物业有限公司	
河海新村	10349	普通住宅	0.40元/平方米·月	50000m²	700户	2000年	地面停车场	暂无数据	暂无数据	常州房地产开发公司	小区物业	
顺园六村	8042	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
橄榄城	8950	普通住宅	1.10元/平方米·月	250000m²	1200户	2007年	地下停车场	1.45	38%(一般)	常州广厦房产	常州广厦房产	
四季新城南苑	9174	普通住宅	0.5元/平方米·月	150000m²	2000户	2005年	1：1	1.6	25%(一般)	江苏新城房产股份有限公司	江苏新城房产股份有限公司	
随园锦湖公寓	12103	普通住宅	0.6元/平方米·月	200000m²	532户	2010年	总数：550个	1.73	36%(一般)	常州市双益房地产开发有限公司	平安物业	
采菱家园	5311	暂无数据	0.35元/平米·月	暂无数据	暂无数据	暂无数据	150	2	37%(一般)	暂无数据	暂无资料	
东方花园	9632	暂无数据	0.69元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	0.8	35%(一般)	暂无数据	暂无资料	
乾盛兰庭	14898	普通住宅	0.8元/平方米·月	180000m²	1200户	2009年	1：0.8；10-12.5万/个	2.5	30%(一般)	常州乾盛置业有限公司	常州高正物业	
平岗星苑	12509	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	
方圆云山诗意	12192	普通住宅	1.05元/平方米·月	230000m²	1506户	2011年	1000多，车位比1：0.8	2.5	45%(高)	常州市方圆房地产发展有限公司	广州方圆物业管理有限公司	
荆川里续建	10619	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6608元/平方米	
花之园	10298	普通住宅	0.25元/平方米·月	26693m²	259户	2005年	地下155个	1.92	30%(一般)	常州东方房地产有限公司	南京广厦物业管理有限公司	
顺园八村	7108	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
顺园二村	7438	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
东庄新村	7986	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	200	2	25%(一般)	暂无数据	暂无资料	
光华世家	12587	普通住宅	0.8元/平方米·月	150000m²	1200户	2008年	1：1.2	2.17	30%(一般)	常州苏源常电房地产开发有限公司	常州江南中鑫物业管理公司	
