清潭联排别墅	12764	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清潭五村续建	7518	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
富强周家村	12370	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：10004元/平方米	
碧霞一弄	8720	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
大圆公寓	8645	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
红星新村	7995	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7240元/平方米	
清潭续建	7392	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
荆川东园	7251	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
清潭三村	7595	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
普济公寓	10000	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中天凤凰电器城	7397	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
都市桃源壹公馆	15230	普通住宅	0.70元/平方米·月	380000m²	1000户	2006年	1：1	暂无数据	暂无数据	常州福来房地产开发有限公司	常州福来物业有限公司	
玫瑰园	10007	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
星河名居	13705	普通住宅	1.20元/平方米·月	40000m²	433户	2006年	100	暂无数据	35%(一般)	常州华凌房地产发展有限公司	常州市商业网点物业管理有限公司	
勤业六村	8926	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	23%(一般)	暂无数据	暂无资料	
兰亭苑	11387	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
客车厂宿舍	6878	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	13%(低)	暂无数据	暂无资料	
三堡街南楼	8049	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	24%(一般)	暂无数据	暂无资料	
朱家村	7946	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	16%(低)	暂无数据	暂无资料	
三堡街西楼	8965	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	10%(低)	暂无数据	暂无资料	
茅山桥村	12852	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	23%(一般)	暂无数据	暂无资料	
航仪新村	7997	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	23%(一般)	暂无数据	暂无资料	
华府家园	11375	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.6	1.7	15%(低)	暂无数据	华府家园社区物业	
莱蒙名骏	18436	普通住宅	1元/平方米·月	150000m²	6369户	2008年	地下400个	4.8	20%(一般)	常州莱蒙都会置业有限公司	高力国际（加拿大）	
东方国际（普宅）	16192	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下114个	暂无数据	25%(一般)	暂无数据	常州江南中鑫物业	
玉隆观巷	16785	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
怡和花园	10289	普通住宅	0.75元/平方米·月	44000m²	344户	2007年	地下202个	2	30%(一般)	常州市怡康房地产开发有限公司	常州市怡康物业有限公司	
东岱家园	4750	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
白云东苑	8500	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7230元/平方米	
常飞公寓	6857	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	30%(一般)	暂无数据	暂无资料	
武警宿舍	9505	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
牡丹公寓	18503	暂无数据	0.35元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.7	1.55	22%(一般)	暂无数据	暂无资料	
早科坊大厦	12997	普通住宅	0.5元/平方米·月	18000m²	160户	2006年	50	暂无数据	暂无数据	常州越都房地产开发有限公司	常州越都物业有限公司	
娑罗家园	18490	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.6	暂无数据	23%(一般)	暂无数据	暂无资料	
莱蒙都会（公寓）	16884	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下400个	4.8	20%(一般)	暂无数据	高力国际（加拿大）	
置信商务广场	16077	暂无数据	1.4元/平方米·月	暂无数据	暂无数据	暂无数据	240余地下车位	暂无数据	15%(低)	暂无数据	香港戴德梁行	
项家弄	19936	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	25%(一般)	暂无数据	暂无资料	
马山埠大楼	21905	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	21%(一般)	暂无数据	暂无资料	
御苑林城	10714	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
天安别墅	28391	别墅	1元/平方米·月	45000m²	111户	2005年	1：1	0.28	85%(高)	常州天安元城房地产发展有限公司	安基物业	
博爱公寓	12656	暂无数据	0.8元/平方米·月	暂无数据	暂无数据	暂无数据	暂无数据	1.8	32%(一般)	暂无数据	暂无资料	
博爱花苑	15490	暂无数据	0.6元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.5	暂无数据	暂无数据	暂无数据	暂无资料	
新城公馆（别墅）	15183	别墅	1.5元/平方米·月	464000m²	700户	2011年	150	1.8	40%(高)	常州新城房产开发有限公司	新城物业	
丽景花园	15426	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	常州中天物业管理有限公司	
新城公园壹号（普宅）	10813	普通住宅	暂无资料	110000m²	4000户	2010年	1：1	1.3	40%(高)	新城地产	新城物业	
九洲豪廷苑（别墅）	17029	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下318个	0.83	57%(高)	暂无数据	中鑫福安物业有限公司	
湖滨嘉园	10033	普通住宅	1.8元/平方米·月	373000m²	264户	2007年	1.1:1	0.69	40%(高)	常州西太湖房地产开发有限公司	高正物业	
五一花园	7209	暂无数据	0.4元/平方米·月	暂无数据	暂无数据	暂无数据	150	2	46%(高)	暂无数据	暂无资料	
南区工房	6050	暂无数据	0.3元/平米·月	暂无数据	暂无数据	暂无数据	100	0.1	10%(低)	暂无数据	暂无资料	
河苑东村	6632	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	50	0.1	10%(低)	暂无数据	暂无资料	
机厂街	5780	暂无数据	0.1元/平米·月	暂无数据	暂无数据	暂无数据	200	0.3	20%(一般)	暂无数据	暂无资料	
铁配新村	5832	暂无数据	0.4元/平米·月	暂无数据	暂无数据	暂无数据	250	0.35	30%(一般)	暂无数据	暂无资料	
鹤园弄	18554	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	80%	暂无数据	16%(低)	暂无数据	暂无资料	
五益新村	7310	暂无数据	0.5元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	0.1	10%(低)	暂无数据	暂无资料	
莱蒙水榭花都	12301	普通住宅	1.03元/平方米·月	200000m²	1500户	2009年	1：1	2	50%(高)	常州莱蒙水榭花都房产开发有限公司	常州莱蒙水榭花都物业有限公司	
嘉城尚郡	14254	普通住宅	1.2元/平方米·月	25000m²	300户	2011年	475	2.2	30%(一般)	江苏嘉城置业	常州江南中鑫物业	
新昌花苑	8888	普通住宅	0.30元/平方米·月	50000m²	300户	2000年	地面停车场	暂无数据	32%(一般)	常州市丰臣房地产开发有限公司	小区物业	
戚区西街	6428	暂无数据	1.1元/平米·月	暂无数据	暂无数据	暂无数据	200	0.3	20%(一般)	暂无数据	暂无资料	
财富广场聚园	11885	普通住宅	0.8元/平方米·月	70600m²	308户	2007年	机动车约550个车位	3	33%(一般)	江苏武房集团	常州乐聚物业有限公司	
新天地花苑	15006	暂无数据	0.6元/平米·月	暂无数据	暂无数据	暂无数据	80%	暂无数据	25%(一般)	暂无数据	暂无资料	
清潭四村	9721	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
荡下村	8990	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
金色新城杰座	11817	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
嘉豪名苑	9146	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
银苑大厦	7930	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
瞿家村	9527	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
西巢村	8000	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
嘉新花苑	6622	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	地面60个	1.68	23%(一般)	暂无数据	暂无资料	
奥林匹克花园（别墅）	12843	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下1200	1.08	40%(高)	暂无数据	奥林匹克花园物业管理公司	
顺园五村	7334	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
前桥新村	8081	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：5983元/平方米	
金惠雅居	13306	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
御景湾	17407	普通住宅	0.8元/平方米·月	450000m²	2000户	2012年	共835个	2	41%(高)	新城地产	新城物业	
坛园小区	9282	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
中亿大厦	6836	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
百合心苑	11111	普通住宅	2.00元/平方米·月	71882m²	600户	2010年	489	2.3	35%(一般)	常州三井房地产开发有限公司	三晶物业	
新盛花苑	8785	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
惠山花苑	10337	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：6433元/平方米	
亲庭星海银园	13812	普通住宅	0.7元/平方米·月	35000m²	250户	2008年	247	1.9	43%(高)	常州市河海房地产开发有限公司	常州市河海物业有限公司	
新城蓝钻景庭	10425	普通住宅	0.8元/平方米·月	170000m²	900户	2008年	地下116个	2.38	35%(一般)	常州新城房产开发有限公司	新城物业有限公司	
兴业苑	10526	普通住宅	0.35元/平方米·月	50000m²	300户	2003年	1：0.5	1.7	20%(一般)	常州三井房地产开发有限公司	常州三井物业有限公司	
泰山小区	9294	暂无数据	0.30元/平方米·月	暂无数据	暂无数据	暂无数据	1：0.8	1.85	20%(一般)	暂无数据	暂无资料	
水木年华别墅	14667	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
青竹苑	12453	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：4620元/平方米	
美林国际别墅	37860	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
泰山花园	9176	普通住宅	0.40元/平方米·月	50000m²	550户	2000年	地面停车场	暂无数据	暂无数据	长城房地产建设开发公司	小区物业	
北城后街（住宅）	5453	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	1.9	暂无数据	暂无数据	搜房评估参考价：5163元/平方米	
香槟置业广场	10295	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
阳光花园（普宅）	10923	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
汇丰新村	10006	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	1：0.5	1.8	20%(一般)	暂无数据	河海物业	
金桂公寓	12968	普通住宅	0.35元/平方米·月	12678m²	100户	2006年	地下停车库	暂无数据	暂无数据	常州民航机场建设	常州市延陵物业管理有限公司	
晋陵北苑	10934	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：7574元/平方米	
聚景苑	10902	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	搜房评估参考价：8917元/平方米	
绿洲叠加别墅	13279	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无数据	暂无资料	
名城嘉苑（别墅）	10297	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下197个	1.5	32%(一般)	暂无数据	常州明都物业	
名城嘉苑（公寓）	10540	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	地下197个	1.5	32%(一般)	暂无数据	常州明都物业	
新城湖畔春秋	14041	暂无数据	1.00元/平米·月	暂无数据	暂无数据	暂无数据	暂无数据	2.7	57%(高)	暂无数据	暂无资料	
湾里前壮村	8139	暂无数据	暂无资料	暂无数据	暂无数据	暂无数据	600	3	56%(高)	暂无数据	暂无资料	
新城熙园(别墅)	13391	暂无数据	0.9元/平方米·月	暂无数据	暂无数据	暂无数据	1:0.8	2	35%(一般)	暂无数据	新城物业	
太湖湾度假村	16416	普通住宅	2.5元/平方米·月	80000m²	500户	2010年	400	0.72	50%(高)	常州太湖湾房地产开发有限公司	常州江南中鑫物业管理有限公司	
